failed to get console mode for stdout: The handle is invalid.
failed to get console mode for stdout: The handle is invalid.

Exchange Binance has 1235 active pairs:
+---------------+----------------+----------+---------+----------+--------+----------+----------+------------+
|            Id |         Symbol |     Base |   Quote |   Active |   Spot |   Margin |   Future |   Leverage |
|        ACHTRY |        ACH/TRY |      ACH |     TRY |     True |   Spot |          |          |          1 |
|       ACHUSDT |       ACH/USDT |      ACH |    USDT |     True |   Spot |   Margin |          |          1 |
|        ACMTRY |        ACM/TRY |      ACM |     TRY |     True |   Spot |          |          |          1 |
|       ACMUSDT |       ACM/USDT |      ACM |    USDT |     True |   Spot |          |          |          1 |
|        ADABNB |        ADA/BNB |      ADA |     BNB |     True |   Spot |          |          |          1 |
|        ADABRL |        ADA/BRL |      ADA |     BRL |     True |   Spot |          |          |          1 |
|        ADABTC |        ADA/BTC |      ADA |     BTC |     True |   Spot |   Margin |          |          1 |
|        ADAETH |        ADA/ETH |      ADA |     ETH |     True |   Spot |   Margin |          |          1 |
|        ADAEUR |        ADA/EUR |      ADA |     EUR |     True |   Spot |          |          |          1 |
|      ADAFDUSD |      ADA/FDUSD |      ADA |   FDUSD |     True |   Spot |   Margin |          |          1 |
|        ADATRY |        ADA/TRY |      ADA |     TRY |     True |   Spot |          |          |          1 |
|       ADATUSD |       ADA/TUSD |      ADA |    TUSD |     True |   Spot |          |          |          1 |
|       ADAUSDC |       ADA/USDC |      ADA |    USDC |     True |   Spot |   Margin |          |          1 |
|       ADAUSDT |       ADA/USDT |      ADA |    USDT |     True |   Spot |   Margin |          |          1 |
|        ADXBTC |        ADX/BTC |      ADX |     BTC |     True |   Spot |          |          |          1 |
|        ADXETH |        ADX/ETH |      ADX |     ETH |     True |   Spot |          |          |          1 |
|       ADXUSDT |       ADX/USDT |      ADX |    USDT |     True |   Spot |   Margin |          |          1 |
|     AERGOUSDT |     AERGO/USDT |    AERGO |    USDT |     True |   Spot |   Margin |          |          1 |
|      AEURUSDT |      AEUR/USDT |     AEUR |    USDT |     True |   Spot |   Margin |          |          1 |
|       AEVOBNB |       AEVO/BNB |     AEVO |     BNB |     True |   Spot |          |          |          1 |
|       AEVOBTC |       AEVO/BTC |     AEVO |     BTC |     True |   Spot |          |          |          1 |
|     AEVOFDUSD |     AEVO/FDUSD |     AEVO |   FDUSD |     True |   Spot |          |          |          1 |
|       AEVOTRY |       AEVO/TRY |     AEVO |     TRY |     True |   Spot |          |          |          1 |
|      AEVOUSDT |      AEVO/USDT |     AEVO |    USDT |     True |   Spot |   Margin |          |          1 |
|       AGIXBTC |       AGIX/BTC |     AGIX |     BTC |     True |   Spot |   Margin |          |          1 |
|     AGIXFDUSD |     AGIX/FDUSD |     AGIX |   FDUSD |     True |   Spot |          |          |          1 |
|       AGIXTRY |       AGIX/TRY |     AGIX |     TRY |     True |   Spot |          |          |          1 |
|      AGIXUSDT |      AGIX/USDT |     AGIX |    USDT |     True |   Spot |   Margin |          |          1 |
|       AGLDBTC |       AGLD/BTC |     AGLD |     BTC |     True |   Spot |          |          |          1 |
|      AGLDUSDT |      AGLD/USDT |     AGLD |    USDT |     True |   Spot |   Margin |          |          1 |
|         AIBNB |         AI/BNB |       AI |     BNB |     True |   Spot |          |          |          1 |
|         AIBTC |         AI/BTC |       AI |     BTC |     True |   Spot |          |          |          1 |
|       AIFDUSD |       AI/FDUSD |       AI |   FDUSD |     True |   Spot |          |          |          1 |
|         AITRY |         AI/TRY |       AI |     TRY |     True |   Spot |          |          |          1 |
|        AITUSD |        AI/TUSD |       AI |    TUSD |     True |   Spot |          |          |          1 |
|        AIUSDT |        AI/USDT |       AI |    USDT |     True |   Spot |   Margin |          |          1 |
|      AKROUSDT |      AKRO/USDT |     AKRO |    USDT |     True |   Spot |   Margin |          |          1 |
|       ALCXBTC |       ALCX/BTC |     ALCX |     BTC |     True |   Spot |          |          |          1 |
|      ALCXUSDT |      ALCX/USDT |     ALCX |    USDT |     True |   Spot |   Margin |          |          1 |
|       ALGOBTC |       ALGO/BTC |     ALGO |     BTC |     True |   Spot |   Margin |          |          1 |
|       ALGOETH |       ALGO/ETH |     ALGO |     ETH |     True |   Spot |          |          |          1 |
|     ALGOFDUSD |     ALGO/FDUSD |     ALGO |   FDUSD |     True |   Spot |          |          |          1 |
|       ALGOTRY |       ALGO/TRY |     ALGO |     TRY |     True |   Spot |          |          |          1 |
|      ALGOUSDT |      ALGO/USDT |     ALGO |    USDT |     True |   Spot |   Margin |          |          1 |
|      ALICEBTC |      ALICE/BTC |    ALICE |     BTC |     True |   Spot |          |          |          1 |
|      ALICETRY |      ALICE/TRY |    ALICE |     TRY |     True |   Spot |          |          |          1 |
|     ALICEUSDT |     ALICE/USDT |    ALICE |    USDT |     True |   Spot |   Margin |          |          1 |
|     ALPACABTC |     ALPACA/BTC |   ALPACA |     BTC |     True |   Spot |          |          |          1 |
|    ALPACAUSDT |    ALPACA/USDT |   ALPACA |    USDT |     True |   Spot |   Margin |          |          1 |
|      ALPHABTC |      ALPHA/BTC |    ALPHA |     BTC |     True |   Spot |   Margin |          |          1 |
|     ALPHAUSDT |     ALPHA/USDT |    ALPHA |    USDT |     True |   Spot |   Margin |          |          1 |
|     ALPINEBTC |     ALPINE/BTC |   ALPINE |     BTC |     True |   Spot |          |          |          1 |
|     ALPINETRY |     ALPINE/TRY |   ALPINE |     TRY |     True |   Spot |          |          |          1 |
|    ALPINEUSDT |    ALPINE/USDT |   ALPINE |    USDT |     True |   Spot |          |          |          1 |
|        ALTBNB |        ALT/BNB |      ALT |     BNB |     True |   Spot |          |          |          1 |
|        ALTBTC |        ALT/BTC |      ALT |     BTC |     True |   Spot |          |          |          1 |
|      ALTFDUSD |      ALT/FDUSD |      ALT |   FDUSD |     True |   Spot |          |          |          1 |
|        ALTTRY |        ALT/TRY |      ALT |     TRY |     True |   Spot |          |          |          1 |
|       ALTUSDC |       ALT/USDC |      ALT |    USDC |     True |   Spot |   Margin |          |          1 |
|       ALTUSDT |       ALT/USDT |      ALT |    USDT |     True |   Spot |   Margin |          |          1 |
|        AMBBTC |        AMB/BTC |      AMB |     BTC |     True |   Spot |          |          |          1 |
|       AMBUSDT |       AMB/USDT |      AMB |    USDT |     True |   Spot |   Margin |          |          1 |
|        AMPTRY |        AMP/TRY |      AMP |     TRY |     True |   Spot |          |          |          1 |
|       AMPUSDT |       AMP/USDT |      AMP |    USDT |     True |   Spot |   Margin |          |          1 |
|       ANKRBTC |       ANKR/BTC |     ANKR |     BTC |     True |   Spot |   Margin |          |          1 |
|       ANKRTRY |       ANKR/TRY |     ANKR |     TRY |     True |   Spot |          |          |          1 |
|      ANKRUSDT |      ANKR/USDT |     ANKR |    USDT |     True |   Spot |   Margin |          |          1 |
|        APEBTC |        APE/BTC |      APE |     BTC |     True |   Spot |   Margin |          |          1 |
|        APEETH |        APE/ETH |      APE |     ETH |     True |   Spot |   Margin |          |          1 |
|        APETRY |        APE/TRY |      APE |     TRY |     True |   Spot |          |          |          1 |
|       APEUSDT |       APE/USDT |      APE |    USDT |     True |   Spot |   Margin |          |          1 |
|       API3BTC |       API3/BTC |     API3 |     BTC |     True |   Spot |          |          |          1 |
|       API3TRY |       API3/TRY |     API3 |     TRY |     True |   Spot |          |          |          1 |
|      API3USDT |      API3/USDT |     API3 |    USDT |     True |   Spot |   Margin |          |          1 |
|        APTBTC |        APT/BTC |      APT |     BTC |     True |   Spot |          |          |          1 |
|        APTETH |        APT/ETH |      APT |     ETH |     True |   Spot |          |          |          1 |
|        APTEUR |        APT/EUR |      APT |     EUR |     True |   Spot |          |          |          1 |
|      APTFDUSD |      APT/FDUSD |      APT |   FDUSD |     True |   Spot |          |          |          1 |
|        APTTRY |        APT/TRY |      APT |     TRY |     True |   Spot |          |          |          1 |
|       APTUSDT |       APT/USDT |      APT |    USDT |     True |   Spot |   Margin |          |          1 |
|         ARBTC |         AR/BTC |       AR |     BTC |     True |   Spot |          |          |          1 |
|         ARTRY |         AR/TRY |       AR |     TRY |     True |   Spot |          |          |          1 |
|        ARUSDT |        AR/USDT |       AR |    USDT |     True |   Spot |   Margin |          |          1 |
|        ARBBTC |        ARB/BTC |      ARB |     BTC |     True |   Spot |   Margin |          |          1 |
|        ARBETH |        ARB/ETH |      ARB |     ETH |     True |   Spot |          |          |          1 |
|        ARBEUR |        ARB/EUR |      ARB |     EUR |     True |   Spot |          |          |          1 |
|      ARBFDUSD |      ARB/FDUSD |      ARB |   FDUSD |     True |   Spot |   Margin |          |          1 |
|        ARBTRY |        ARB/TRY |      ARB |     TRY |     True |   Spot |          |          |          1 |
|       ARBTUSD |       ARB/TUSD |      ARB |    TUSD |     True |   Spot |   Margin |          |          1 |
|       ARBUSDC |       ARB/USDC |      ARB |    USDC |     True |   Spot |   Margin |          |          1 |
|       ARBUSDT |       ARB/USDT |      ARB |    USDT |     True |   Spot |   Margin |          |          1 |
|       ARDRBTC |       ARDR/BTC |     ARDR |     BTC |     True |   Spot |          |          |          1 |
|      ARDRUSDT |      ARDR/USDT |     ARDR |    USDT |     True |   Spot |   Margin |          |          1 |
|        ARKTRY |        ARK/TRY |      ARK |     TRY |     True |   Spot |          |          |          1 |
|       ARKUSDT |       ARK/USDT |      ARK |    USDT |     True |   Spot |   Margin |          |          1 |
|       ARKMBNB |       ARKM/BNB |     ARKM |     BNB |     True |   Spot |          |          |          1 |
|       ARKMBTC |       ARKM/BTC |     ARKM |     BTC |     True |   Spot |          |          |          1 |
|     ARKMFDUSD |     ARKM/FDUSD |     ARKM |   FDUSD |     True |   Spot |          |          |          1 |
|       ARKMTRY |       ARKM/TRY |     ARKM |     TRY |     True |   Spot |          |          |          1 |
|      ARKMTUSD |      ARKM/TUSD |     ARKM |    TUSD |     True |   Spot |          |          |          1 |
|      ARKMUSDT |      ARKM/USDT |     ARKM |    USDT |     True |   Spot |   Margin |          |          1 |
|       ARPABTC |       ARPA/BTC |     ARPA |     BTC |     True |   Spot |   Margin |          |          1 |
|       ARPATRY |       ARPA/TRY |     ARPA |     TRY |     True |   Spot |          |          |          1 |
|      ARPAUSDT |      ARPA/USDT |     ARPA |    USDT |     True |   Spot |   Margin |          |          1 |
|        ASRTRY |        ASR/TRY |      ASR |     TRY |     True |   Spot |          |          |          1 |
|       ASRUSDT |       ASR/USDT |      ASR |    USDT |     True |   Spot |   Margin |          |          1 |
|        ASTBTC |        AST/BTC |      AST |     BTC |     True |   Spot |          |          |          1 |
|       ASTUSDT |       AST/USDT |      AST |    USDT |     True |   Spot |   Margin |          |          1 |
|       ASTRBTC |       ASTR/BTC |     ASTR |     BTC |     True |   Spot |          |          |          1 |
|      ASTRUSDT |      ASTR/USDT |     ASTR |    USDT |     True |   Spot |   Margin |          |          1 |
|        ATABTC |        ATA/BTC |      ATA |     BTC |     True |   Spot |          |          |          1 |
|       ATAUSDT |       ATA/USDT |      ATA |    USDT |     True |   Spot |   Margin |          |          1 |
|        ATMTRY |        ATM/TRY |      ATM |     TRY |     True |   Spot |          |          |          1 |
|       ATMUSDT |       ATM/USDT |      ATM |    USDT |     True |   Spot |   Margin |          |          1 |
|       ATOMBNB |       ATOM/BNB |     ATOM |     BNB |     True |   Spot |          |          |          1 |
|       ATOMBTC |       ATOM/BTC |     ATOM |     BTC |     True |   Spot |   Margin |          |          1 |
|       ATOMETH |       ATOM/ETH |     ATOM |     ETH |     True |   Spot |          |          |          1 |
|       ATOMEUR |       ATOM/EUR |     ATOM |     EUR |     True |   Spot |          |          |          1 |
|     ATOMFDUSD |     ATOM/FDUSD |     ATOM |   FDUSD |     True |   Spot |   Margin |          |          1 |
|       ATOMTRY |       ATOM/TRY |     ATOM |     TRY |     True |   Spot |          |          |          1 |
|      ATOMUSDT |      ATOM/USDT |     ATOM |    USDT |     True |   Spot |   Margin |          |          1 |
|    AUCTIONBTC |    AUCTION/BTC |  AUCTION |     BTC |     True |   Spot |          |          |          1 |
|  AUCTIONFDUSD |  AUCTION/FDUSD |  AUCTION |   FDUSD |     True |   Spot |          |          |          1 |
|   AUCTIONUSDT |   AUCTION/USDT |  AUCTION |    USDT |     True |   Spot |   Margin |          |          1 |
|      AUDIOBTC |      AUDIO/BTC |    AUDIO |     BTC |     True |   Spot |   Margin |          |          1 |
|      AUDIOTRY |      AUDIO/TRY |    AUDIO |     TRY |     True |   Spot |          |          |          1 |
|     AUDIOUSDT |     AUDIO/USDT |    AUDIO |    USDT |     True |   Spot |   Margin |          |          1 |
|        AVABTC |        AVA/BTC |      AVA |     BTC |     True |   Spot |          |          |          1 |
|       AVAUSDT |       AVA/USDT |      AVA |    USDT |     True |   Spot |   Margin |          |          1 |
|       AVAXBNB |       AVAX/BNB |     AVAX |     BNB |     True |   Spot |          |          |          1 |
|       AVAXBRL |       AVAX/BRL |     AVAX |     BRL |     True |   Spot |          |          |          1 |
|       AVAXBTC |       AVAX/BTC |     AVAX |     BTC |     True |   Spot |   Margin |          |          1 |
|       AVAXETH |       AVAX/ETH |     AVAX |     ETH |     True |   Spot |          |          |          1 |
|       AVAXEUR |       AVAX/EUR |     AVAX |     EUR |     True |   Spot |          |          |          1 |
|     AVAXFDUSD |     AVAX/FDUSD |     AVAX |   FDUSD |     True |   Spot |   Margin |          |          1 |
|       AVAXTRY |       AVAX/TRY |     AVAX |     TRY |     True |   Spot |          |          |          1 |
|      AVAXTUSD |      AVAX/TUSD |     AVAX |    TUSD |     True |   Spot |          |          |          1 |
|      AVAXUSDC |      AVAX/USDC |     AVAX |    USDC |     True |   Spot |   Margin |          |          1 |
|      AVAXUSDT |      AVAX/USDT |     AVAX |    USDT |     True |   Spot |   Margin |          |          1 |
|        AXLBTC |        AXL/BTC |      AXL |     BTC |     True |   Spot |          |          |          1 |
|      AXLFDUSD |      AXL/FDUSD |      AXL |   FDUSD |     True |   Spot |          |          |          1 |
|        AXLTRY |        AXL/TRY |      AXL |     TRY |     True |   Spot |          |          |          1 |
|       AXLUSDT |       AXL/USDT |      AXL |    USDT |     True |   Spot |   Margin |          |          1 |
|        AXSBNB |        AXS/BNB |      AXS |     BNB |     True |   Spot |          |          |          1 |
|        AXSBTC |        AXS/BTC |      AXS |     BTC |     True |   Spot |   Margin |          |          1 |
|        AXSETH |        AXS/ETH |      AXS |     ETH |     True |   Spot |          |          |          1 |
|        AXSTRY |        AXS/TRY |      AXS |     TRY |     True |   Spot |          |          |          1 |
|       AXSUSDT |       AXS/USDT |      AXS |    USDT |     True |   Spot |   Margin |          |          1 |
|     BADGERBTC |     BADGER/BTC |   BADGER |     BTC |     True |   Spot |   Margin |          |          1 |
|    BADGERUSDT |    BADGER/USDT |   BADGER |    USDT |     True |   Spot |   Margin |          |          1 |
|       BAKEBTC |       BAKE/BTC |     BAKE |     BTC |     True |   Spot |   Margin |          |          1 |
|      BAKEUSDT |      BAKE/USDT |     BAKE |    USDT |     True |   Spot |   Margin |          |          1 |
|        BALBTC |        BAL/BTC |      BAL |     BTC |     True |   Spot |          |          |          1 |
|       BALUSDT |       BAL/USDT |      BAL |    USDT |     True |   Spot |   Margin |          |          1 |
|       BANDBTC |       BAND/BTC |     BAND |     BTC |     True |   Spot |   Margin |          |          1 |
|       BANDTRY |       BAND/TRY |     BAND |     TRY |     True |   Spot |          |          |          1 |
|      BANDUSDT |      BAND/USDT |     BAND |    USDT |     True |   Spot |   Margin |          |          1 |
|        BARTRY |        BAR/TRY |      BAR |     TRY |     True |   Spot |          |          |          1 |
|       BARUSDT |       BAR/USDT |      BAR |    USDT |     True |   Spot |          |          |          1 |
|        BATBTC |        BAT/BTC |      BAT |     BTC |     True |   Spot |   Margin |          |          1 |
|       BATUSDT |       BAT/USDT |      BAT |    USDT |     True |   Spot |   Margin |          |          1 |
|        BCHBNB |        BCH/BNB |      BCH |     BNB |     True |   Spot |          |          |          1 |
|        BCHBTC |        BCH/BTC |      BCH |     BTC |     True |   Spot |   Margin |          |          1 |
|        BCHEUR |        BCH/EUR |      BCH |     EUR |     True |   Spot |          |          |          1 |
|      BCHFDUSD |      BCH/FDUSD |      BCH |   FDUSD |     True |   Spot |   Margin |          |          1 |
|        BCHTRY |        BCH/TRY |      BCH |     TRY |     True |   Spot |          |          |          1 |
|       BCHTUSD |       BCH/TUSD |      BCH |    TUSD |     True |   Spot |          |          |          1 |
|       BCHUSDC |       BCH/USDC |      BCH |    USDC |     True |   Spot |          |          |          1 |
|       BCHUSDT |       BCH/USDT |      BCH |    USDT |     True |   Spot |   Margin |          |          1 |
|      BEAMXTRY |      BEAMX/TRY |    BEAMX |     TRY |     True |   Spot |          |          |          1 |
|     BEAMXUSDT |     BEAMX/USDT |    BEAMX |    USDT |     True |   Spot |   Margin |          |          1 |
|        BELBTC |        BEL/BTC |      BEL |     BTC |     True |   Spot |          |          |          1 |
|        BELTRY |        BEL/TRY |      BEL |     TRY |     True |   Spot |          |          |          1 |
|       BELUSDT |       BEL/USDT |      BEL |    USDT |     True |   Spot |   Margin |          |          1 |
|       BETABTC |       BETA/BTC |     BETA |     BTC |     True |   Spot |          |          |          1 |
|      BETAUSDT |      BETA/USDT |     BETA |    USDT |     True |   Spot |   Margin |          |          1 |
|       BICOBTC |       BICO/BTC |     BICO |     BTC |     True |   Spot |   Margin |          |          1 |
|      BICOUSDT |      BICO/USDT |     BICO |    USDT |     True |   Spot |   Margin |          |          1 |
|      BIFIUSDT |      BIFI/USDT |     BIFI |    USDT |     True |   Spot |          |          |          1 |
|       BLURBTC |       BLUR/BTC |     BLUR |     BTC |     True |   Spot |          |          |          1 |
|     BLURFDUSD |     BLUR/FDUSD |     BLUR |   FDUSD |     True |   Spot |          |          |          1 |
|       BLURTRY |       BLUR/TRY |     BLUR |     TRY |     True |   Spot |          |          |          1 |
|      BLURUSDC |      BLUR/USDC |     BLUR |    USDC |     True |   Spot |          |          |          1 |
|      BLURUSDT |      BLUR/USDT |     BLUR |    USDT |     True |   Spot |   Margin |          |          1 |
|        BLZBTC |        BLZ/BTC |      BLZ |     BTC |     True |   Spot |   Margin |          |          1 |
|      BLZFDUSD |      BLZ/FDUSD |      BLZ |   FDUSD |     True |   Spot |          |          |          1 |
|       BLZUSDT |       BLZ/USDT |      BLZ |    USDT |     True |   Spot |   Margin |          |          1 |
|        BNBBRL |        BNB/BRL |      BNB |     BRL |     True |   Spot |          |          |          1 |
|        BNBBTC |        BNB/BTC |      BNB |     BTC |     True |   Spot |   Margin |          |          1 |
|        BNBDAI |        BNB/DAI |      BNB |     DAI |     True |   Spot |          |          |          1 |
|        BNBETH |        BNB/ETH |      BNB |     ETH |     True |   Spot |   Margin |          |          1 |
|        BNBEUR |        BNB/EUR |      BNB |     EUR |     True |   Spot |          |          |          1 |
|      BNBFDUSD |      BNB/FDUSD |      BNB |   FDUSD |     True |   Spot |   Margin |          |          1 |
|        BNBJPY |        BNB/JPY |      BNB |     JPY |     True |   Spot |          |          |          1 |
|        BNBTRY |        BNB/TRY |      BNB |     TRY |     True |   Spot |          |          |          1 |
|       BNBTUSD |       BNB/TUSD |      BNB |    TUSD |     True |   Spot |   Margin |          |          1 |
|        BNBUAH |        BNB/UAH |      BNB |     UAH |     True |   Spot |          |          |          1 |
|       BNBUSDC |       BNB/USDC |      BNB |    USDC |     True |   Spot |   Margin |          |          1 |
|       BNBUSDT |       BNB/USDT |      BNB |    USDT |     True |   Spot |   Margin |          |          1 |
|        BNTBTC |        BNT/BTC |      BNT |     BTC |     True |   Spot |          |          |          1 |
|        BNTETH |        BNT/ETH |      BNT |     ETH |     True |   Spot |          |          |          1 |
|       BNTUSDT |       BNT/USDT |      BNT |    USDT |     True |   Spot |   Margin |          |          1 |
|        BNXBTC |        BNX/BTC |      BNX |     BTC |     True |   Spot |          |          |          1 |
|       BNXUSDT |       BNX/USDT |      BNX |    USDT |     True |   Spot |   Margin |          |          1 |
|       BOMEBTC |       BOME/BTC |     BOME |     BTC |     True |   Spot |          |          |          1 |
|     BOMEFDUSD |     BOME/FDUSD |     BOME |   FDUSD |     True |   Spot |   Margin |          |          1 |
|       BOMETRY |       BOME/TRY |     BOME |     TRY |     True |   Spot |          |          |          1 |
|      BOMEUSDC |      BOME/USDC |     BOME |    USDC |     True |   Spot |          |          |          1 |
|      BOMEUSDT |      BOME/USDT |     BOME |    USDT |     True |   Spot |   Margin |          |          1 |
|       BONDBTC |       BOND/BTC |     BOND |     BTC |     True |   Spot |          |          |          1 |
|      BONDUSDT |      BOND/USDT |     BOND |    USDT |     True |   Spot |   Margin |          |          1 |
|     BONKFDUSD |     BONK/FDUSD |     BONK |   FDUSD |     True |   Spot |          |          |          1 |
|       BONKTRY |       BONK/TRY |     BONK |     TRY |     True |   Spot |          |          |          1 |
|      BONKUSDC |      BONK/USDC |     BONK |    USDC |     True |   Spot |          |          |          1 |
|      BONKUSDT |      BONK/USDT |     BONK |    USDT |     True |   Spot |   Margin |          |          1 |
|        BSWTRY |        BSW/TRY |      BSW |     TRY |     True |   Spot |          |          |          1 |
|       BSWUSDT |       BSW/USDT |      BSW |    USDT |     True |   Spot |   Margin |          |          1 |
|       BTCAEUR |       BTC/AEUR |      BTC |    AEUR |     True |   Spot |          |          |          1 |
|        BTCARS |        BTC/ARS |      BTC |     ARS |     True |   Spot |          |          |          1 |
|       BTCBIDR |       BTC/BIDR |      BTC |    BIDR |     True |   Spot |          |          |          1 |
|        BTCBRL |        BTC/BRL |      BTC |     BRL |     True |   Spot |          |          |          1 |
|        BTCDAI |        BTC/DAI |      BTC |     DAI |     True |   Spot |   Margin |          |          1 |
|        BTCEUR |        BTC/EUR |      BTC |     EUR |     True |   Spot |          |          |          1 |
|      BTCFDUSD |      BTC/FDUSD |      BTC |   FDUSD |     True |   Spot |   Margin |          |          1 |
|        BTCJPY |        BTC/JPY |      BTC |     JPY |     True |   Spot |          |          |          1 |
|        BTCPLN |        BTC/PLN |      BTC |     PLN |     True |   Spot |          |          |          1 |
|        BTCRON |        BTC/RON |      BTC |     RON |     True |   Spot |          |          |          1 |
|        BTCTRY |        BTC/TRY |      BTC |     TRY |     True |   Spot |          |          |          1 |
|       BTCTUSD |       BTC/TUSD |      BTC |    TUSD |     True |   Spot |   Margin |          |          1 |
|        BTCUAH |        BTC/UAH |      BTC |     UAH |     True |   Spot |          |          |          1 |
|       BTCUSDC |       BTC/USDC |      BTC |    USDC |     True |   Spot |   Margin |          |          1 |
|       BTCUSDT |       BTC/USDT |      BTC |    USDT |     True |   Spot |   Margin |          |          1 |
|        BTCZAR |        BTC/ZAR |      BTC |     ZAR |     True |   Spot |          |          |          1 |
|       BTTCTRY |       BTTC/TRY |     BTTC |     TRY |     True |   Spot |          |          |          1 |
|      BTTCUSDT |      BTTC/USDT |     BTTC |    USDT |     True |   Spot |   Margin |          |          1 |
|    BURGERUSDT |    BURGER/USDT |   BURGER |    USDT |     True |   Spot |   Margin |          |          1 |
|        C98BTC |        C98/BTC |      C98 |     BTC |     True |   Spot |   Margin |          |          1 |
|       C98USDT |       C98/USDT |      C98 |    USDT |     True |   Spot |   Margin |          |          1 |
|       CAKEBNB |       CAKE/BNB |     CAKE |     BNB |     True |   Spot |          |          |          1 |
|       CAKEBTC |       CAKE/BTC |     CAKE |     BTC |     True |   Spot |   Margin |          |          1 |
|       CAKETRY |       CAKE/TRY |     CAKE |     TRY |     True |   Spot |          |          |          1 |
|      CAKETUSD |      CAKE/TUSD |     CAKE |    TUSD |     True |   Spot |          |          |          1 |
|      CAKEUSDT |      CAKE/USDT |     CAKE |    USDT |     True |   Spot |   Margin |          |          1 |
|       CELOBTC |       CELO/BTC |     CELO |     BTC |     True |   Spot |          |          |          1 |
|      CELOUSDT |      CELO/USDT |     CELO |    USDT |     True |   Spot |   Margin |          |          1 |
|       CELRBTC |       CELR/BTC |     CELR |     BTC |     True |   Spot |          |          |          1 |
|      CELRUSDT |      CELR/USDT |     CELR |    USDT |     True |   Spot |   Margin |          |          1 |
|        CFXBTC |        CFX/BTC |      CFX |     BTC |     True |   Spot |   Margin |          |          1 |
|        CFXTRY |        CFX/TRY |      CFX |     TRY |     True |   Spot |          |          |          1 |
|       CFXTUSD |       CFX/TUSD |      CFX |    TUSD |     True |   Spot |          |          |          1 |
|       CFXUSDT |       CFX/USDT |      CFX |    USDT |     True |   Spot |   Margin |          |          1 |
|      CHESSBTC |      CHESS/BTC |    CHESS |     BTC |     True |   Spot |          |          |          1 |
|     CHESSUSDT |     CHESS/USDT |    CHESS |    USDT |     True |   Spot |   Margin |          |          1 |
|        CHRBNB |        CHR/BNB |      CHR |     BNB |     True |   Spot |          |          |          1 |
|        CHRBTC |        CHR/BTC |      CHR |     BTC |     True |   Spot |   Margin |          |          1 |
|        CHRETH |        CHR/ETH |      CHR |     ETH |     True |   Spot |          |          |          1 |
|       CHRUSDT |       CHR/USDT |      CHR |    USDT |     True |   Spot |   Margin |          |          1 |
|        CHZBNB |        CHZ/BNB |      CHZ |     BNB |     True |   Spot |          |          |          1 |
|        CHZBRL |        CHZ/BRL |      CHZ |     BRL |     True |   Spot |          |          |          1 |
|        CHZBTC |        CHZ/BTC |      CHZ |     BTC |     True |   Spot |   Margin |          |          1 |
|        CHZEUR |        CHZ/EUR |      CHZ |     EUR |     True |   Spot |          |          |          1 |
|      CHZFDUSD |      CHZ/FDUSD |      CHZ |   FDUSD |     True |   Spot |   Margin |          |          1 |
|        CHZTRY |        CHZ/TRY |      CHZ |     TRY |     True |   Spot |          |          |          1 |
|       CHZUSDT |       CHZ/USDT |      CHZ |    USDT |     True |   Spot |   Margin |          |          1 |
|       CITYTRY |       CITY/TRY |     CITY |     TRY |     True |   Spot |          |          |          1 |
